Column1,Column2,Column1_emo,Column2_emo
나 좀 쩌는 듯,저도 모르게 눈물이 나네요.,disgust,sadness
가끔 궁금해,궁금하면 연락해보세요.,neutral,neutral
가끔 뭐하는지 궁금해,연락해보세요.,neutral,neutral
가끔은 혼자인게 좋다,혼자서도 잘 수 있어요.,neutral,sadness
가난한 자의 설움,가난은 누구나 겪는 아픔일 거예요.,neutral,sadness
가만 있어도 땀난다,땀이 나네요.,disgust,fear
가상화폐 쫄딱 망함,망해도 상관없어요.,sadness,sadness
가스불 켜고 나갔어,가스불 켜고 나가세요.,sadness,neutral
가스불 켜놓고 나온거 같아,가스불 켜고 나온거면 켜고 나가세요.,angry,neutral
가스비 너무 많이 나왔다.,가스비 절약하세요.,neutral,neutral
가스비 비싼데 감기 걸리겠어,가스비 절약하세요.,sadness,neutral
가스비 장난 아님,가스비 절약하세요.,sadness,neutral
가장 확실한 건 뭘까?,가장 확실한 건 사랑이에요.,neutral,neutral
가족 여행 가기로 했어,좋은 추억 만드세요.,sadness,neutral
가족 여행 고고,좋은 추억 만드세요.,neutral,neutral
가족 여행 어디로 가지?,같이 가보세요.,neutral,neutral
가족 있어?,가족도 있어요.,neutral,sadness
가족관계 알려 줘,가족관계도 중요해요.,neutral,neutral
가족끼리 여행간다.,좋은 추억 만드세요.,sadness,neutral
가족들 보고 싶어,저도 보고 싶어요.,sadness,sadness
가족들이랑 서먹해,같이 있으면 더 좋죠.,sadness,neutral
가족들이랑 서먹해졌어,서로가 서로를 이해해 주세요.,sadness,sadness
가족들이랑 어디 가지?,같이 가자고 해보세요.,neutral,neutral
가족들이랑 여행 갈거야,좋은 추억 만드세요.,sadness,neutral
가족여행 가야지,좋은 추억 만드세요.,sadness,neutral
가족이 누구야?,저는 가족이에요.,neutral,sadness
가족이랑 여행 가려고,좋은 추억 만드세요.,neutral,neutral
가족한테 스트레스 풀었어,좋은 생각이에요.,sadness,neutral
가출할까?,가출은 혼자만의 문제가 아니에요.,neutral,sadness
가출해도 갈 데가 없어,가출은 혼자만의 문제가 아니에요.,sadness,sadness
간만에 떨리니까 좋더라,좋은 추억이 될 거예요.,sadness,neutral
간만에 쇼핑 중,쇼핑은 쇼핑이 아니에요.,sadness,neutral
간만에 휴식 중,좋은 휴식 되시길 바랍니다.,angry,neutral
간식 뭐 먹을까,맛있게 드세요.,neutral,neutral
간식 추천,맛있게 드세요.,angry,neutral
간장치킨 시켜야지,맛있게 드세요.,angry,neutral
간접흡연 싫어,간접흡연에 대한 경각심을 가져보세요.,angry,neutral
갈까 말까 고민 돼,좋은 생각이에요.,angry,neutral
갈까 말까?,같이 가자고 해보세요.,neutral,neutral
감 말랭이 먹고 싶다.,맛있게 드세요.,neutral,neutral
감 말랭이 먹어야지,맛있게 드세요.,neutral,neutral
감기 같애,감기 조심하세요.,sadness,neutral
감기 걸린 것 같아,감기 조심하세요.,sadness,neutral
감기 기운이 있어,감기 조심하세요.,sadness,neutral
감기 들 거 같애,감기 조심하세요.,sadness,neutral
감기가 오려나,감기 조심하세요.,sadness,neutral
감기약이 없어,감기약 드세요.,sadness,sadness
감기인거 같애,감기 조심하세요.,sadness,neutral
감미로운 목소리 좋아,저도 좋아해요.,neutral,neutral
감정이 쓰레기통처럼 엉망진창이야,쓰레기통에서 나온 쓰레기는 쓰레기통에 버려보세요.,sadness,angry
감정컨트롤을 못하겠어,감정 컨트롤을 해보세요.,sadness,neutral
감정컨트롤이 안돼,감정 컨트롤을 해보세요.,sadness,neutral
감히 나를 무시하는 애가 있어,무시하지 마세요.,sadness,neutral
갑자기 나쁜 생각이 막 들더라,나쁜 생각만 하지 마세요.,sadness,sadness
갑자기 눈물 나,저도 모르게 눈물이 나네요.,sadness,sadness
갑자기 물어봐서 당황했어,당황한 만큼 더 좋은 답변이 올 거예요.,sadness,neutral
갑자기 불편한 사이가 된 거 같아,서로가 서로에게 의지하고 의지하면서 지내세요.,sadness,sadness
강렬한 첫인상 남겨야 하는데,첫인상이 중요한가봐요.,sadness,neutral
