시나리오,ID,성별,번호,대사,파일명,emotion
J01,3001,M1,1,"누나, 서울랜드 좋아해?",J01_3001_M1_01,neutral
J01,3001,F1,1,서울랜드? 애기들 많이 가지 않나?,J01_3001_F1_01,neutral
J01,3001,M1,2,"아니, 회사에서 동기가 서울랜드 표 꽁짜로 줄 수 있다고 해서.",J01_3001_M1_02,neutral
J01,3001,F1,2,그래? 꽁짜면 또 가지! 몇 장 줄 수 있다는데?,J01_3001_F1_02,angry
J01,3001,M1,3,몇 장 필요한데?,J01_3001_M1_03,neutral
J01,3001,F1,3,많을수록 좋지?,J01_3001_F1_03,neutral
J01,3001,M1,4,다섯 장 정도?,J01_3001_M1_04,neutral
J01,3001,F1,4,오 좋아 좋아. 나 줘!,J01_3001_F1_04,happiness
J01,3001,M1,5,알았어. 동기한테 말해놓는다?,J01_3001_M1_05,neutral
J01,3001,F1,5,오 땡큐땡큐!!!,J01_3001_F1_05,neutral
J01,3002,M1,1,아 뭐야!,J01_3002_M1_01,angry
J01,3002,F1,1,너 또 우리 싸운 걸로 웹툰 올렸지.,J01_3002_F1_01,sadness
J01,3002,M1,2,어.,J01_3002_M1_02,neutral
J01,3002,F1,2,우리 얘기로 쓰지 말랬지! 회사 사람들도 다 본다고!!,J01_3002_F1_02,angry
J01,3002,M1,3,뭐 어때. 너 아니라 그래.,J01_3002_M1_03,neutral
J01,3002,F1,3,실명까지 다 까놓고 어떻게 아니라 그래!,J01_3002_F1_03,angry
J01,3002,M1,4,픽션이라 해. 어차피 만환데.,J01_3002_M1_04,sadness
J01,3002,F1,4,쓰지 말라고! 사람들이 내 얘기 떠드는 거 싫다고!,J01_3002_F1_04,angry
J01,3002,M1,5,연재 중인데 어떻게 갑자기 그만두냐…,J01_3002_M1_05,sadness
J01,3002,F1,5,그러니까 애초에 왜 우리 얘길 쓰냐고!,J01_3002_F1_05,angry
J01,3002,M1,6,니가 돈 벌어 오라매!!!,J01_3002_M1_06,sadness
J01,3002,F1,6,좀 맞자! 그걸 말이라고 하냐!,J01_3002_F1_06,angry
J01,3003,M1,1,"야, 너 안 나가냐?",J01_3003_M1_01,neutral
J01,3003,F1,1,어. 나 오늘 쉴 거야.,J01_3003_F1_01,neutral
J01,3003,M1,2,왜. 약속도 없냐.,J01_3003_M1_02,neutral
J01,3003,F1,2,내가 안 만난다 한 거야.  아 왜 그래 갑자기?,J01_3003_F1_02,sadness
J01,3003,M1,3,"아니, 날씨 좋은데 밖에도 좀 나가고, 친구들이랑 술도 마시고 하면 좋잖아.",J01_3003_M1_03,sadness
J01,3003,F1,3,너 여자친구 불렀냐?,J01_3003_F1_03,neutral
J01,3003,M1,4,오빠한테 너라니 동생아. 알았으면 눈치껏 좀 나가주라. 오빠가 용돈 줄게.,J01_3003_M1_04,sadness
J01,3003,F1,4,오 만원.,J01_3003_F1_04,neutral
J01,3003,M1,5,삼 만원.,J01_3003_M1_05,neutral
J01,3003,F1,5,오 만원. 협상은 거절한다. 난 이대로 새벽까지 소파와 한 몸이 되면 그만이야.,J01_3003_F1_05,neutral
J01,3003,M1,6,사만 오천 원.,J01_3003_M1_06,neutral
J01,3003,F1,6,봐 준다.  내놔.,J01_3003_F1_06,angry
